ADDRESS,ADDID,OBJECTID,FOLDERRSN,FOLDERNAME,FOLDERYEAR,FOLDERSEQU,PROPERTYLO,FOLDERDESC,REFERENCEF,INDATE,FOLDERTYPE,SUBDESC,WORKDESC,STATUSDESC,FOLDERDE_1,PROPERTYRS,PROPGISID1,ROUTECODE,USERNAME,EMAILADDRE,ORGANIZATI,NAMEFIRST,NAMELAST
505 SOUTHGATE DR,25188.00000000000,45118,342681,505 Southgate Drive,17,001493,"PLAN 680 LOT 7 PART LOT 8 RP61R7734 PARTS 1, 2, 3",Site Plan Approval,SP17B010,15/03/2017,SP,INDUSTRIAL,ADDITION,Open,Warehouse/Office addition and new parking area,55133,25188,6,Ryan Mallory,Ryan.Mallory@guelph.ca,CRD Construction Ltd.,,

546 WOOLWICH ST,4452.00000000000,27150,340874,546 Woolwich Street,16,008818,PLAN 251 PT LOTS 1 & 2 PLAN 148 PT LOT 27,Site Plan Approval,SP16C057,09/12/2016,SP,COMMERCIAL,ALTERATION,Open,New 3-pump gas bar,18248,4452,3,Ryan Mallory,Ryan.Mallory@guelph.ca,n Architecture Inc.,,

55 DELHI ST,38929.00000000000,30765,296109,55 Delhi St,13,007521,PLAN 133 LOT 34 PT LOT 35,Zoning Amendment,ZC1309,22/07/2013,ZC,,MAJOR,Open,To permit the conversion of existing building into 12 unit apartment.,11620,38929,2,Michael Witmer,Michael.Witmer@guelph.ca,Labreche Patterson & Associates Inc.,,

561 YORK RD,11269.00000000000,1311,182556,561 York Road,07,003805,DIV C CON 2 PT LOT 1,Site Plan Approval,SP07C040,14/06/2007,SP,COMMERCIAL,NEW,Open,Commercial plaza,3272,11269,1,Ryan Mallory,Ryan.Mallory@guelph.ca,First String Investments Ltd.,,

590 HANLON CREEK BLVD,33687.00000000000,45121,342866,590 Hanlon Creek Boulevard,17,001669,PLAN 61M169 BLOCK 4,Site Plan Approval,SP17B012,22/03/2017,SP,INDUSTRIAL,NEW,Open,New Industrial Building,80214,33687,6,Ryan Mallory,Ryan.Mallory@guelph.ca,Mirexus Biotechnologies Inc.,,

635 WOODLAWN RD W,39163.00000000000,25562,336656,635 Woodlawn Road W,16,005676,"PLAN 753 PT LOT 2 PT LOT 3 PT LOT 4 DES INC RP 61R4555 PARTS 1 2



",Site Plan Approval,SP16C038,05/08/2016,SP,COMMERCIAL,ADDITION,Open,New Tire Facility at existing Toyota vehicle dealership,26689,39163,4,Ryan Mallory,Ryan.Mallory@guelph.ca,Larry May Architect,,

66 EASTVIEW RD,3805.00000000000,34789,344361,66 Eastview Road,17,003056,"DIV C CON 5 PT LOT 2, RP 61R20500 PART 1",Site Plan Approval,SP17A019,15/05/2017,SP,TOWNHOUSE DWELLING,ALTERATION,Open,As-constructed amendment to grading and servicing plans for condominium registration,8324,3805,2,,,Fusion Homes,,

66 VICTORIA RD S,25495.00000000000,18217,334115,66 Victoria Road S,16,003277,DIV C CON 3 PT LOT 1,Site Plan Approval,SP16B020,13/05/2016,SP,INDUSTRIAL,NEW,Open,Two new industrial buildings.,2615,25495,1,Ryan Mallory,Ryan.Mallory@guelph.ca,,Ray,Ferraro

671 VICTORIA RD N,43560.00000000000,32221,332349,671 Victoria Road N,16,001607,DIV C CON 7 PT LOT 1 RP 61R190 PART 3PT,Zoning Amendment,ZC1606,01/03/2016,ZC,,MINOR,Open,"To permit a proposed mixed use development, with 124 apartment units in 2 buildings, together with commercial and office space.",49712,43560,2,Katie Nasswetter,katie.nasswetter@guelph.ca,Astrid J. Clos Planning Consultants,,

7 EDEN ST,32584.00000000000,34903,340992,7 & part of 9 Eden Street,16,008922,"PLAN 52 PT LOT 16 PLAN 206 PT LOT 8 PT LOT 9 DES INC RP 61R319 PART 1, PARTS 2 & 4, 61R9661",Zoning Amendment,ZC1618,20/12/2016,ZC,,MINOR,Open,To permit the existing accessory building to be converted into a coach house.,77713,32584,4,Lindsay Sulatycki,Lindsay.Sulatycki@guelph.ca,Van Harten Surveying Inc.,,

705 SOUTHGATE DR,4602.00000000000,45176,331271,705 Southgate Drive,16,000594,"PLAN 687 PT LOT 2, RP 61R4454 PART 7,  RP 61R9631 PART 2",Site Plan Approval,SP16C001,29/01/2016,SP,COMMERCIAL,NEW,Open,Redevelopment of existing car wash and the addition of two retail commercial buildings.,85000,4602,6,Ryan Mallory,Ryan.Mallory@guelph.ca,Labreche Patterson & Associates Inc.,,

71 ELMIRA RD S,47111.00000000000,33237,335585,71 Elmira Road S,16,004671,"CON 1 DIV B, PART LT 6, PART ORIGINAL ROAD ALLOWANCE BETWEEN B & E, DESCRIBED AS PARTS 5-18,  REFERENCE PLAN 61R-20091, TOGETHER WITH AND SUBJECT TO EASEMENTS",Site Plan Approval,SP16C031,05/07/2016,SP,COMMERCIAL,ADDITION,Open,"Add 4 new fuel pumps and extend the canopy over the new fuel pumps

",81674,47111,0,Ryan Mallory,Ryan.Mallory@guelph.ca,J + B Engineering,,

71 WYNDHAM ST S,2445.00000000000,7414,344563,71 Wyndham Street S,17,003245,PLAN 113 PT LOT 171 PT LOT 172 PT FORMER RIVER BED RP 61R2181 PART 2 PART 3,Zoning Amendment,ZC1705,18/05/2017,ZC,,MAJOR,Open,Development of a 14 storey residential building,678,2445,1,Katie Nasswetter,katie.nasswetter@guelph.ca,Stantec Consulting Ltd.,,

71 WYNDHAM ST S,2445.00000000000,7414,344565,71 Wyndham Street S,17,003247,PLAN 113 PT LOT 171 PT LOT 172 PT FORMER RIVER BED RP 61R2181 PART 2 PART 3,Official Plan Amendment,OP1703,18/05/2017,OP,LAND USE CHANGE,MAJOR,Open,Development of a 14 storey residential building,678,2445,1,Katie Nasswetter,katie.nasswetter@guelph.ca,Stantec Consulting Ltd.,,

71 WYNDHAM ST S,2445.00000000000,7414,344655,71 Wyndham Street S,17,003328,PLAN 113 PT LOT 171 PT LOT 172 PT FORMER RIVER BED RP 61R2181 PART 2 PART 3,Site Plan Approval,SP17A023,24/05/2017,SP,APARTMENT DWELLING,NEW,Open,14 storey residential building,678,2445,1,,,Stantec Consulting Ltd.,,

73 DELHI ST,21701.00000000000,494,313401,73 & 115 Delhi St,14,007446,PLAN 133 PARK PT LOT 35 TO PARK PT LOT 37 PARK LOT 38 PARK LOT 39 PLAN 221 PT LOT 11 PT LOT 10,Site Plan Approval,SP14D054,20/08/2014,SP,GOVERNMENT/INSTITUTIONAL,NEW,Open,Parking Lot Expansion,11622,21701,2,Ryan Mallory,Ryan.Mallory@guelph.ca,Labreche Patterson & Associates Inc.,,

745 STONE RD E,7446.00000000000,3524,333304,745 Stone Road E,16,002499,CON 9 PT LOT 1,Zoning Amendment,ZC1608,18/04/2016,ZC,,MAJOR,Open,To permit the development of five single detached residential dwellings.,3045,7446,1,Lindsay Sulatycki,Lindsay.Sulatycki@guelph.ca,"Black, Shoemaker, Robinson & Donaldson Limited",,

755 WILLOW RD,9681.00000000000,340,154674,755 Willow Rd Block 107,05,076058,PLAN 61M84 BLOCK 107,Condo Approval,23CDM05502,14/02/2005,CD,,NEW DEVELOPMENT,Open,765 Willow Road is part of this applictaion file as well,61226,9681,0,Katie Nasswetter,katie.nasswetter@guelph.ca,Van Harten Surveying Inc.,,

772 PAISLEY RD,14445.00000000000,14012,334783,772 Paisley Road,16,003912,PLAN 61M48 BLOCK 75,Site Plan Approval,SP16A025,07/06/2016,SP,APARTMENT DWELLING,NEW,Open,New Residential Apartment Building,55417,14445,0,Ryan Mallory,Ryan.Mallory@guelph.ca,Highstreet Land Holdings Ltd.,,

78 STARWOOD DR,46935.00000000000,37436,332056,78 Starwood Drive,16,001328,RP 61R10049 PART 3,Site Plan Approval,SP16D007,29/02/2016,SP,OTHER,NEW,Open,Temporary Sales Trailer,85419,46935,0,Ryan Mallory,Ryan.Mallory@guelph.ca,Fusion Homes,,

8 WILSONVIEW AVE,28835.00000000000,34974,338510,8-16 Wilsonview Avenue,16,007387,DIV G CON 4 PT LOT 8,Site Plan Approval,SP16A052,12/10/2016,SP,APARTMENT DWELLING,NEW,Open,New apartment building,40529,28835,5,Ryan Mallory,Ryan.Mallory@guelph.ca,Labreche Patterson & Associates Inc.,,

816 WOOLWICH ST,4008.00000000000,6971,303456,816 Woolwich St,14,000729,PLAN 169 PT LOT 6 PT LOT 7,Zoning Amendment,ZC1402,24/01/2014,ZC,,MAJOR,Open,To permit a mixed use residential and commercial development.,19997,4008,3,Lindsay Sulatycki,Lindsay.Sulatycki@guelph.ca,"Black, Shoemaker, Robinson & Donaldson Limited",,

85 MULLIN DR,43577.00000000000,35805,327042,85 Mullin Drive,15,007826,PLAN 61M151 BLOCK 55,Site Plan Approval,SP15A050,11/09/2015,SP,TOWNHOUSE DWELLING,NEW,Open,Stacked townhouse Development,78249,43577,2,Ryan Mallory,Ryan.Mallory@guelph.ca,GSP Group Inc.,,

9 WOODLAWN RD E,9465.00000000000,4604,343239,9 Woodlawn Road E,17,002012,DIV A COONS SUR PT LOT 33,Site Plan Approval,SP17C014,31/03/2017,SP,COMMERCIAL OFFICE,ALTERATION,Open,Amendment to site servicing due to transformer relocation,13476,9465,2,Ryan Mallory,Ryan.Mallory@guelph.ca,ZGemi Inc.,,

91 ST ARNAUD ST,42143.00000000000,25145,336657,91 St. Arnaud Street,16,005677,PLAN 34 PT LOT 17 PT LOT 18 RP 61R3643 PART 1,Site Plan Approval,SP16A039,08/08/2016,SP,APARTMENT DWELLING,NEW,Open,Demolish existing apartment and build new apartment building.,32883,42143,0,Ryan Mallory,Ryan.Mallory@guelph.ca,J. David McAuley Architects Inc.,,

978 PAISLEY RD,29242.00000000000,20443,332857,978 Paisley Road,16,002065,"BLOCK 139 PLAN 61M8, BLOCK 2, PLAN 61M53, BLOCK 3, PLAN 61M53 and BLOCK 4, PLAN 61M53",Site Plan Approval,SP16A012,30/03/2016,SP,APARTMENT DWELLING,NEW,Open,New Residential Apartment Building,55434,29242,4,Ryan Mallory,Ryan.Mallory@guelph.ca,JoyLife Imperial Towers Limited,,

