ADDRESS,ADDID,REFERENCEF,FOLDERNAME,FOLDERYEAR,FOLDERSEQU,PROPERTYLO,FOLDERDESC,REFERENCEF,INDATE,FOLDERTYPE,SUBDESC,WORKDESC,STATUSDESC,FOLDERDE_1,PROPERTYRS,PROPGISID1,ROUTECODE,USERNAME,EMAILADDRE,ORGANIZATI,NAMEFIRST,NAMELAST,WARD,MUNICIPALITY
19 LOWES RD,7839,345039,19 Lowes Road,17,3695,PLAN 508 LOT 3,Condo Approval,23CDM17504,08/06/2017,CD,RESIDENTIAL TOWNHOUSE - CLUSTER,VACANT LAND,Open,Vacant Land Condominium 36 Units,42753,7839,6,,,Reid's Heritage Homes Ltd.,,,6,City of Guelph
195 HANLON CREEK BLVD,9194,336932,225 Hanlon Creek Boulevard,16,5941,"PLAN 61M169 PART OF BLOCK 11, RP 61R11905 PARTS 1, 2, 3, 4",Site Plan Approval,SP16B044,03/05/2017,SP,INDUSTRIAL,NEW,Open,Phase 2 Industrial Building,80973,9194,6,Ryan Mallory,Ryan.Mallory@guelph.ca,Ramar Contractors Inc.,,,6,City of Guelph
2 DUDLEY DR,48910,291781,855 Victoria Rd S,13,3231,PLAN 61M197 LOT 27,Subdivision Approval,23T13501,08/06/2017,SD,RESIDENTIAL,,Open,Phase 4 - Kortright East Subdivision,83338,48910,6,Lindsay Sulatycki,Lindsay.Sulatycki@guelph.ca,"Black, Shoemaker, Robinson & Donaldson Limited",,,6,City of Guelph
24 LANDSDOWN DR,14839,303036,24 Landsdown Dr,13,324,PLAN 488 LOT 8 PT LOTS 6 & 7,Condo Approval,23CDM13507,17/05/2017,CD,RESIDENTIAL,VACANT LAND,Open,Proposed Vacant Land Condominium for a 27 unit single detached dwelling development.,3989,14839,6,Lindsay Sulatycki,Lindsay.Sulatycki@guelph.ca,Astrid J. Clos Planning Consultants,,,6,City of Guelph
245 HANLON CREEK BLVD,40962,331784,245 Hanlon Creek Boulevard,16,1067,"PLAN 61M169 PART OF BLOCKS 10 & 11, RP 61R11661 PARTS 4, 5, & 6",Site Plan Approval,SP16C005,03/05/2017,SP,COMMERCIAL,NEW,Open,New Commercial Building,80292,40962,6,Ryan Mallory,Ryan.Mallory@guelph.ca,James Fryett Architect Inc.,,,6,City of Guelph
33 ARKELL RD,11199,325804,33 Arkell Road,15,6711,CON 8 PT LOT 7,Zoning Amendment,ZC1509,26/04/2017,ZC,,MAJOR,Open,To permit the development of an apartment building.,3533,11199,6,Chris DeVriendt,chris.devriendt@guelph.ca,Astrid J. Clos Planning Consultants,,,6,City of Guelph
35 COWAN PL,43832,335956,35 Cowan Place,16,5027,"PLAN 680 PT LOT 1, RP 61R9344 PARTS 7 TO 12",Site Plan Approval,SP16C033,03/05/2017,SP,COMMERCIAL,ALTERATION,Open,Alterations to the approved plans built hotel.,63008,43832,0,Ryan Mallory,Ryan.Mallory@guelph.ca,API Development Consultants,,,6,City of Guelph
385 MACALISTER BLVD,45786,324020,385 Macalister Boulevard,15,5004,PLAN 61M161 BLOCK 52,Site Plan Approval,SP15C035,03/05/2017,SP,COMMERCIAL,NEW,Open,New Commercial Plaza,79087,45786,6,Ryan Mallory,Ryan.Mallory@guelph.ca,"Black, Shoemaker, Robinson & Donaldson Limited",,,6,City of Guelph
395 SOUTHGATE DR,16332,334008,395 Southgate Drive,16,3174,"PLAN 680 LOT 10 LOT 11 SAVE AND EXCEPT PARTS 1 TO 3, RP 61R-6699 AND PT RD ALLOWANCE DESC INCL RP 61R6428 PARTS 4 AND 5",Site Plan Approval,SP16C019,03/05/2017,SP,COMMERCIAL OFFICE,ADDITION,Open,Second storey addition to existing building.,44320,16332,6,Ryan Mallory,Ryan.Mallory@guelph.ca,Stafford Haensli Architects,,,6,City of Guelph
237 JANEFIELD AVE,8400,344204,237 Janefield Avenue,17,2910,PLAN 649 PT BLK L RP 61R2930 PARTS 3 & 4,Zoning Amendment,ZC1702,11/05/2017,ZC,,MAJOR,Open,* Insert description of application here *,38878,8400,5,Katie Nasswetter,katie.nasswetter@guelph.ca,Astrid J. Clos Planning Consultants,,,5,City of Guelph
237 JANEFIELD AVE,8400,344206,237 Janefield Avenue,17,2912,PLAN 649 PT BLK L RP 61R2930 PARTS 3 & 4,Official Plan Amendment,OP1702,11/05/2017,OP,LAND USE CHANGE,MAJOR,Open,* Insert description of application here *,38878,8400,5,Katie Nasswetter,katie.nasswetter@guelph.ca,Astrid J. Clos Planning Consultants,,,5,City of Guelph
25 MCGILVRAY ST,25827,342506,25 McGilvray Street Bldg  077,17,1333,,Site Plan Approval,SP17C008,03/05/2017,SP,GOVERNMENT/INSTITUTIONAL,ADDITION,Open,Addition to Ontario Veterinary College,54292,25827,0,Ryan Mallory,Ryan.Mallory@guelph.ca,Chernoff Thompson Architects,,,5,City of Guelph
286 WATER ST,31466,334450,286 Water Street,16,3594,CON 4 DIV G PT LOT 1,Site Plan Approval,SP16C023,18/05/2017,SP,GOVERNMENT/INSTITUTIONAL,ADDITION,Open,Second floor addition and new gymnasium and additional parking.,37722,31466,5,Ryan Mallory,Ryan.Mallory@guelph.ca,Astrid J. Clos Planning Consultants,,,5,City of Guelph
287 WATER ST,29546,335960,287 Water Street,16,5031,CON 4 DIV G PT BF LOT,Site Plan Approval,SP16C034,03/05/2017,SP,GOVERNMENT/INSTITUTIONAL,ADDITION,Open,"Addition to existing sanctuary, demolition of existing house and expansion of parking area",37602,29546,5,Ryan Mallory,Ryan.Mallory@guelph.ca,Dickinson & Hicks Architects Inc.,,,5,City of Guelph
5 WILSONVIEW AVE,40881,338481,5-7 Wilsonview Avenue,16,7359,DIV G CON 4 PT LOT 7,Site Plan Approval,SP16A051,03/05/2017,SP,APARTMENT DWELLING,NEW,Open,New apartment building,40477,40881,0,Ryan Mallory,Ryan.Mallory@guelph.ca,Labreche Patterson & Associates Inc.,,,5,City of Guelph
50 STONE RD E,38074,326479,781 Victoria Road S,15,7310,"CONCESSION 8 PART OF LOT 2, RP 61R20556 PART 1",Condo Approval,23CDM15507,16/11/2016,CD,RESIDENTIAL,VACANT LAND,Open,Proposed Vacant Land Condominium for a 18 unit single detached dwelling development.,82624,38074,0,Michael Witmer,Michael.Witmer@guelph.ca,Stantec Consulting Ltd.,,,5,City of Guelph
8 WILSONVIEW AVE,28835,338510,8-16 Wilsonview Avenue,16,7387,DIV G CON 4 PT LOT 8,Site Plan Approval,SP16A052,03/05/2017,SP,APARTMENT DWELLING,NEW,Open,New apartment building,40529,28835,5,Ryan Mallory,Ryan.Mallory@guelph.ca,Labreche Patterson & Associates Inc.,,,5,City of Guelph
91 ST ARNAUD ST,42143,336657,91 St. Arnaud Street,16,5677,PLAN 34 PT LOT 17 PT LOT 18 RP 61R3643 PART 1,Site Plan Approval,SP16A039,03/05/2017,SP,APARTMENT DWELLING,NEW,Open,Demolish existing apartment and build new apartment building.,32883,42143,0,Ryan Mallory,Ryan.Mallory@guelph.ca,J. David McAuley Architects Inc.,,,5,City of Guelph
